Observing Strategy,zcomp,nsn,deltaN,deltaz
long_gaps_nightsoff5_delayed-1_v2.0_10yrs,0.2736,85628.9651,-0.0631,-0.0043
long_gaps_nightsoff5_delayed1827_v2.0_10yrs,0.2756,88591.7182,-0.0307,-0.0023
long_gaps_nightsoff6_delayed-1_v2.0_10yrs,0.275,86842.7884,-0.0498,-0.0029
long_gaps_nightsoff6_delayed1827_v2.0_10yrs,0.276,89086.8248,-0.0253,-0.0019
long_gaps_nightsoff7_delayed-1_v2.0_10yrs,0.2739,86290.1471,-0.0559,-0.0041
long_gaps_nightsoff7_delayed1827_v2.0_10yrs,0.2757,89379.1461,-0.0221,-0.0023
long_gaps_np_nightsoff0_delayed-1_v2.0_10yrs,0.259,47038.825,-0.4853,-0.019
long_gaps_np_nightsoff0_delayed1827_v2.0_10yrs,0.2681,71652.6391,-0.216,-0.0099
long_gaps_np_nightsoff1_delayed-1_v2.0_10yrs,0.2652,71055.2331,-0.2225,-0.0128
long_gaps_np_nightsoff1_delayed1827_v2.0_10yrs,0.2707,81845.531,-0.1045,-0.0072
long_gaps_np_nightsoff2_delayed-1_v2.0_10yrs,0.2708,78006.7018,-0.1465,-0.0072
roman_v2.0_10yrs,0.2778,90611.8837,-0.0086,-0.0001
short_exp_v2.0_10yrs,0.2734,87497.7246,-0.0426,-0.0045
six_rolling_ns6_rw0.5_v2.0_10yrs,0.266,76924.6172,-0.1583,-0.012
six_rolling_ns6_rw0.9_v2.0_10yrs,0.2695,80885.9222,-0.115,-0.0084
smc_movie_v2.0_10yrs,0.277,90099.7425,-0.0142,-0.0009
too_rate10_v2.0_10yrs,0.2764,89465.4685,-0.0211,-0.0015
too_rate50_v2.0_10yrs,0.2766,87896.3489,-0.0383,-0.0013
twilight_neo_nightpattern1v2.0_10yrs,0.2682,74991.8605,-0.1795,-0.0097
twilight_neo_nightpattern2v2.0_10yrs,0.2731,82625.7771,-0.0959,-0.0048
twilight_neo_nightpattern3v2.0_10yrs,0.275,85608.5956,-0.0633,-0.003
twilight_neo_nightpattern4v2.0_10yrs,0.275,87188.0745,-0.046,-0.003
twilight_neo_nightpattern5v2.0_10yrs,0.2722,83065.6417,-0.0911,-0.0057
twilight_neo_nightpattern6v2.0_10yrs,0.274,84057.8912,-0.0803,-0.0039
twilight_neo_nightpattern7v2.0_10yrs,0.2742,85366.1647,-0.066,-0.0037
vary_expt_v2.0_10yrs,0.2757,73050.0311,-0.2007,-0.0022
vary_gp_gpfrac0.01_v2.0_10yrs,0.2783,94836.2673,0.0377,0.0003
vary_gp_gpfrac0.05_v2.0_10yrs,0.2782,94159.3605,0.0302,0.0002
vary_gp_gpfrac0.10_v2.0_10yrs,0.2783,93744.5075,0.0257,0.0003
vary_gp_gpfrac0.15_v2.0_10yrs,0.2776,92701.3875,0.0143,-0.0004
vary_gp_gpfrac0.20_v2.0_10yrs,0.277,91987.1673,0.0065,-0.001
vary_gp_gpfrac0.25_v2.0_10yrs,0.2759,90591.7644,-0.0088,-0.002
vary_gp_gpfrac0.30_v2.0_10yrs,0.2765,90205.1462,-0.013,-0.0015
vary_gp_gpfrac0.35_v2.0_10yrs,0.2757,89098.4278,-0.0251,-0.0022
vary_gp_gpfrac0.40_v2.0_10yrs,0.275,87700.9824,-0.0404,-0.003
vary_gp_gpfrac0.45_v2.0_10yrs,0.2743,85822.582,-0.061,-0.0037
vary_gp_gpfrac0.50_v2.0_10yrs,0.2744,85362.6974,-0.066,-0.0036
vary_gp_gpfrac0.55_v2.0_10yrs,0.2743,84933.9986,-0.0707,-0.0037
vary_gp_gpfrac0.75_v2.0_10yrs,0.2703,78960.9182,-0.136,-0.0076
north_stripe_v2.0_10yrs,0.2749,87366.8954,-0.0441,-0.0031
presto_gap1.5_mix_v2.0_10yrs,0.2558,37913.7283,-0.5852,-0.0222
presto_gap1.5_v2.0_10yrs,0.2556,28024.4152,-0.6934,-0.0224
presto_gap2.0_mix_v2.0_10yrs,0.2561,39589.5066,-0.5668,-0.0219
presto_gap2.0_v2.0_10yrs,0.2555,29014.5389,-0.6825,-0.0224
presto_gap2.5_mix_v2.0_10yrs,0.257,38721.5216,-0.5763,-0.021
presto_gap2.5_v2.0_10yrs,0.2566,29459.7355,-0.6777,-0.0214
presto_gap3.0_mix_v2.0_10yrs,0.2577,40865.7485,-0.5529,-0.0202
presto_gap3.0_v2.0_10yrs,0.2579,31471.9446,-0.6556,-0.0201
presto_gap3.5_mix_v2.0_10yrs,0.26,40879.2253,-0.5527,-0.0179
presto_gap3.5_v2.0_10yrs,0.2587,31614.5235,-0.6541,-0.0193
presto_gap4.0_mix_v2.0_10yrs,0.2607,44576.0606,-0.5123,-0.0173
presto_gap4.0_v2.0_10yrs,0.2594,36616.0058,-0.5994,-0.0186
presto_half_gap1.5_mix_v2.0_10yrs,0.2638,62677.075,-0.3142,-0.0142
presto_half_gap1.5_v2.0_10yrs,0.2614,58575.6687,-0.3591,-0.0165
presto_half_gap2.0_mix_v2.0_10yrs,0.265,65761.2659,-0.2805,-0.0129
ddf_dither_size_slf0.20_md0.50_v2.1_10yrs,0.2794,96822.6064,0.0133,-0.0004
ddf_dither_size_slf0.20_md0.70_v2.1_10yrs,0.281,98685.1451,0.0328,0.0012
ddf_dither_size_slf0.20_md1.00_v2.1_10yrs,0.2808,97626.9331,0.0217,0.001
ddf_dither_size_slf0.20_md1.50_v2.1_10yrs,0.2793,98185.214,0.0275,-0.0005
ddf_dither_size_slf0.20_md2.50_v2.1_10yrs,0.2809,97904.6004,0.0246,0.0011
ddf_dither_size_slf0.20_md3.50_v2.1_10yrs,0.2789,97074.147,0.0159,-0.0009
ddf_double_slf0.10_v2.1_10yrs,0.279,96531.441,0.0102,-0.0008
ddf_double_slf0.15_v2.1_10yrs,0.279,95544.3172,-0.0001,-0.0008
ddf_double_slf0.20_v2.1_10yrs,0.2785,95571.9796,0.0002,-0.0013
ddf_double_slf0.25_v2.1_10yrs,0.2769,94297.8761,-0.0132,-0.0029
ddf_double_slf0.30_v2.1_10yrs,0.2752,93620.1576,-0.0202,-0.0046
ddf_double_slf0.35_v2.1_10yrs,0.2742,92658.2468,-0.0303,-0.0056
ddf_early_deep_slf0.20_f10.60_f20.70_v2.1_10yrs,0.2842,104502.0017,0.0936,0.0044
ddf_early_deep_slf0.20_f10.60_f20.75_v2.1_10yrs,0.2831,102946.6326,0.0774,0.0033
ddf_early_deep_slf0.20_f10.60_f20.80_v2.1_10yrs,0.284,103173.7624,0.0797,0.0042
ddf_euclid_moved_slf0.20_v2.1_10yrs,0.2794,96247.6529,0.0073,-0.0004
ddf_old_rot_slf0.10_v2.1_10yrs,0.2796,98116.4035,0.0268,-0.0002
ddf_accourd_sf0.10_lsf0.2_lsr0.3_v2.1_10yrs,0.2794,98090.6448,0.0265,-0.0004
ddf_accourd_sf0.10_lsf0.2_lsr0.5_v2.1_10yrs,0.2792,97104.8823,0.0162,-0.0006
ddf_accourd_sf0.10_lsf0.3_lsr0.1_v2.1_10yrs,0.2787,96134.3503,0.0061,-0.001
ddf_accourd_sf0.10_lsf0.3_lsr0.3_v2.1_10yrs,0.2793,96639.5199,0.0114,-0.0005
ddf_accourd_sf0.10_lsf0.3_lsr0.5_v2.1_10yrs,0.2802,96853.0574,0.0136,0.0004
ddf_accourd_sf0.10_lsf0.4_lsr0.1_v2.1_10yrs,0.2779,95673.5149,0.0012,-0.0019
ddf_accourd_sf0.10_lsf0.4_lsr0.3_v2.1_10yrs,0.2803,96775.9174,0.0128,0.0005
ddf_accourd_sf0.10_lsf0.4_lsr0.5_v2.1_10yrs,0.2797,97509.245,0.0205,-0.0001
ddf_accourd_sf0.20_lsf0.3_lsr0.1_v2.1_10yrs,0.2789,96526.2032,0.0102,-0.0009
ddf_accourd_sf0.20_lsf0.3_lsr0.3_v2.1_10yrs,0.2777,96093.9811,0.0056,-0.0021
ddf_accourd_sf0.20_lsf0.3_lsr0.5_v2.1_10yrs,0.2788,96533.5517,0.0102,-0.001
ddf_accourd_sf0.20_lsf0.4_lsr0.1_v2.1_10yrs,0.2781,95572.8532,0.0002,-0.0017
ddf_accourd_sf0.20_lsf0.4_lsr0.3_v2.1_10yrs,0.2778,95630.8387,0.0008,-0.002
ddf_accourd_sf0.20_lsf0.4_lsr0.5_v2.1_10yrs,0.2788,96259.5609,0.0074,-0.0009
ddf_accourd_sf0.25_lsf0.3_lsr0.1_v2.1_10yrs,0.2785,96524.4697,0.0101,-0.0013
ddf_accourd_sf0.25_lsf0.3_lsr0.3_v2.1_10yrs,0.2789,96393.2143,0.0088,-0.0009
ddf_accourd_sf0.25_lsf0.3_lsr0.5_v2.1_10yrs,0.279,96325.5258,0.0081,-0.0008
ddf_old_rot_slf0.15_v2.1_10yrs,0.2795,98176.6411,0.0274,-0.0003
ddf_old_rot_slf0.20_v2.1_10yrs,0.2807,98555.7134,0.0314,0.0009
ddf_old_rot_slf0.25_v2.1_10yrs,0.2775,96600.4289,0.0109,-0.0023
ddf_old_rot_slf0.30_v2.1_10yrs,0.2783,96940.7068,0.0145,-0.0015
ddf_old_rot_slf0.35_v2.1_10yrs,0.2783,96527.2696,0.0102,-0.0015
ddf_quad_slf0.10_v2.1_10yrs,0.276,92457.6823,-0.0324,-0.0038
ddf_quad_slf0.15_v2.1_10yrs,0.2756,91002.8431,-0.0476,-0.0042
ddf_quad_slf0.20_v2.1_10yrs,0.275,90009.5083,-0.058,-0.0048
ddf_quad_slf0.25_v2.1_10yrs,0.2745,89210.6307,-0.0664,-0.0053
ddf_quad_slf0.30_v2.1_10yrs,0.2709,87582.0861,-0.0834,-0.0089
ddf_quad_slf0.35_v2.1_10yrs,0.2716,88545.1534,-0.0734,-0.0082
ddf_quad_subfilter_slf0.10_v2.1_10yrs,0.2779,99458.8814,0.0409,-0.0019
ddf_quad_subfilter_slf0.15_v2.1_10yrs,0.2787,98272.3275,0.0284,-0.0011
ddf_quad_subfilter_slf0.20_v2.1_10yrs,0.2781,99108.4582,0.0372,-0.0017
ddf_quad_subfilter_slf0.25_v2.1_10yrs,0.2761,97604.1222,0.0214,-0.0037
ddf_quad_subfilter_slf0.30_v2.1_10yrs,0.2758,98355.7604,0.0293,-0.0039
ddf_quad_subfilter_slf0.35_v2.1_10yrs,0.275,97969.1436,0.0253,-0.0048
baseline_v2.1_10yrs,0.2798,95554.7266,0.0,0.0
ddf_accourd_sf0.05_lsf0.1_lsr0.1_v2.1_10yrs,0.2812,98002.8802,0.0256,0.0014
ddf_accourd_sf0.05_lsf0.1_lsr0.3_v2.1_10yrs,0.281,97502.241,0.0204,0.0012
ddf_accourd_sf0.05_lsf0.1_lsr0.5_v2.1_10yrs,0.2795,97664.5226,0.0221,-0.0003
ddf_accourd_sf0.05_lsf0.2_lsr0.1_v2.1_10yrs,0.2799,96862.6138,0.0137,0.0001
ddf_accourd_sf0.05_lsf0.2_lsr0.3_v2.1_10yrs,0.281,98125.2828,0.0269,0.0012
ddf_accourd_sf0.05_lsf0.2_lsr0.5_v2.1_10yrs,0.2804,97408.5261,0.0194,0.0006
ddf_accourd_sf0.05_lsf0.3_lsr0.1_v2.1_10yrs,0.2784,96906.9044,0.0142,-0.0014
ddf_accourd_sf0.05_lsf0.3_lsr0.3_v2.1_10yrs,0.2793,97393.1795,0.0192,-0.0005
ddf_accourd_sf0.05_lsf0.3_lsr0.5_v2.1_10yrs,0.2791,97836.8119,0.0239,-0.0007
ddf_accourd_sf0.05_lsf0.4_lsr0.1_v2.1_10yrs,0.2781,95246.223,-0.0032,-0.0017
ddf_accourd_sf0.05_lsf0.4_lsr0.3_v2.1_10yrs,0.2791,96968.4953,0.0148,-0.0007
ddf_accourd_sf0.05_lsf0.4_lsr0.5_v2.1_10yrs,0.2807,98607.226,0.0319,0.0009
ddf_accourd_sf0.10_lsf0.1_lsr0.1_v2.1_10yrs,0.2796,97500.8904,0.0204,-0.0001
ddf_accourd_sf0.10_lsf0.1_lsr0.3_v2.1_10yrs,0.2799,97742.4955,0.0229,0.0001
ddf_accourd_sf0.10_lsf0.1_lsr0.5_v2.1_10yrs,0.2807,97769.8825,0.0232,0.0009
ddf_accourd_sf0.10_lsf0.2_lsr0.1_v2.1_10yrs,0.2795,98092.0151,0.0266,-0.0003
ddf_accourd_sf0.25_lsf0.4_lsr0.1_v2.1_10yrs,0.278,95770.522,0.0023,-0.0018
ddf_accourd_sf0.25_lsf0.4_lsr0.3_v2.1_10yrs,0.2769,94963.8231,-0.0062,-0.0028
ddf_accourd_sf0.25_lsf0.4_lsr0.5_v2.1_10yrs,0.2781,95520.1701,-0.0004,-0.0017
ddf_accourd_sf0.30_lsf0.4_lsr0.1_v2.1_10yrs,0.2782,96209.9306,0.0069,-0.0016
ddf_accourd_sf0.30_lsf0.4_lsr0.3_v2.1_10yrs,0.2776,95031.3754,-0.0055,-0.0022
ddf_accourd_sf0.30_lsf0.4_lsr0.5_v2.1_10yrs,0.2764,95215.6458,-0.0035,-0.0034
ddf_bright_slf0.10_v2.1_10yrs,0.2779,92899.2201,-0.0278,-0.0019
ddf_bright_slf0.15_v2.1_10yrs,0.2764,91458.7481,-0.0429,-0.0034
ddf_bright_slf0.20_v2.1_10yrs,0.2759,90319.5368,-0.0548,-0.0039
ddf_bright_slf0.25_v2.1_10yrs,0.2735,89359.5174,-0.0648,-0.0063
ddf_bright_slf0.30_v2.1_10yrs,0.2726,89556.5674,-0.0628,-0.0072
ddf_bright_slf0.35_v2.1_10yrs,0.2733,88961.0193,-0.069,-0.0065
ddf_deep_rolling_slf0.20_v2.1_10yrs,0.2818,101801.4136,0.0654,0.002
ddf_deep_u_slf0.20_v2.1_10yrs,0.2751,86486.2063,-0.0949,-0.0047
ddf_dither_size_slf0.20_md0.01_v2.1_10yrs,0.2791,96145.7403,0.0062,-0.0007
ddf_dither_size_slf0.20_md0.05_v2.1_10yrs,0.2806,97687.0308,0.0223,0.0008
ddf_dither_size_slf0.20_md0.10_v2.1_10yrs,0.279,97022.5219,0.0154,-0.0008
ddf_dither_size_slf0.20_md0.25_v2.1_10yrs,0.2799,96744.5297,0.0125,0.0001
good_seeing_u_gsw3.0_v2.1_10yrs,0.281,95121.8296,-0.0045,0.0012
good_seeing_u_gsw50.0_v2.1_10yrs,0.2797,94312.7455,-0.013,-0.0001
good_seeing_u_gsw6.0_v2.1_10yrs,0.2805,95095.4284,-0.0048,0.0007
march_start_v2.1_10yrs,0.2832,95603.2942,0.0005,0.0034
