name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
Carina 286.2 -0.2 0.2599 0.263 0.266 0.4573 0.4702 0.4847 12.0 12.0395 12.0777 2511 2558 2603 0.1614 0.1792 0.1973 0.0315 0.0343 0.0373 0.1548 0.1603 0.1665 1 713 -2456 -8
Carina 288.1 -1.1 0.2582 0.261 0.2638 0.4449 0.4602 0.4759 11.9053 11.9366 12.0191 2404 2439 2534 0.0943 0.1099 0.1271 0.0297 0.032 0.0342 0.1555 0.1599 0.1651 1 757 -2317 -46
Carina 286.3 0.2 0.3728 0.3785 0.3836 0.5111 0.5247 0.5387 11.9553 11.9913 12.0337 2460 2501 2551 0.2026 0.2237 0.2445 0.0347 0.0373 0.0398 0.1612 0.1677 0.1761 1 701 -2400 8
Carina 287.4 -0.6 0.2062 0.2101 0.2144 0.8004 0.8171 0.8334 11.9219 11.9828 12.0177 2423 2492 2532 0.2161 0.2383 0.2622 0.0644 0.0674 0.0707 0.1702 0.1776 0.1865 1 745 -2377 -26
Cepheus 110.1 17.4 0.7225 0.7288 0.7353 0.2392 0.2423 0.2454 7.5832 7.6412 7.7003 328 337 346 0.0336 0.0415 0.0514 0.0627 0.0724 0.0824 0.0665 0.0697 0.073 0 -110 301 100
Cepheus 104.0 9.4 0.6708 0.6732 0.6759 0.2368 0.238 0.2393 10.0779 10.0968 10.1461 1036 1045 1069 0.0242 0.028 0.0326 0.1028 0.1077 0.1128 0.0552 0.0566 0.0582 0 -249 1000 170
Cepheus 111.5 12.2 0.7007 0.7034 0.706 0.2647 0.2662 0.2675 9.8689 9.9071 9.9328 941 958 969 0.0155 0.0187 0.0223 0.1071 0.1144 0.1215 0.0415 0.0429 0.0446 0 -343 871 202
Cepheus 108.3 17.6 0.7555 0.7626 0.7696 0.2511 0.2545 0.2577 7.6532 7.6986 7.7665 339 346 357 0.0602 0.0733 0.0886 0.0528 0.0622 0.0736 0.0651 0.0683 0.0718 0 -103 313 104
Cepheus 107.0 6.0 0.6247 0.6261 0.6276 0.2992 0.3002 0.3012 9.761 9.7737 9.7906 895 901 908 0.019 0.0217 0.0246 0.1362 0.1429 0.1505 0.0568 0.0579 0.0591 0 -261 856 94
Cepheus 103.7 11.4 0.6154 0.6182 0.621 0.1621 0.1632 0.1643 9.6696 9.6902 9.701 858 867 871 0.0164 0.0192 0.0227 0.0775 0.0819 0.0867 0.0454 0.0466 0.0478 0 -201 825 171
Cepheus 104.0 14.5 0.6246 0.6295 0.6345 0.1515 0.1538 0.1556 7.5786 7.6692 7.7781 327 341 359 0.0317 0.0371 0.0434 0.0323 0.0416 0.0515 0.0587 0.0607 0.0628 0 -79 320 85
Cepheus 107.7 5.9 0.6396 0.6412 0.6428 0.2814 0.2825 0.2835 9.581 9.6494 9.6877 824 850 866 0.0159 0.0183 0.0209 0.1448 0.1545 0.1648 0.0626 0.0636 0.0647 0 -257 805 87
Cepheus 111.5 20.8 0.6632 0.6709 0.6778 0.1273 0.1311 0.1333 7.47 7.6039 7.6732 311 331 342 0.0177 0.0215 0.0267 0.0265 0.0335 0.0432 0.0423 0.0444 0.0465 0 -113 287 117
Cepheus 114.6 16.5 0.7519 0.758 0.7646 0.1395 0.1413 0.143 7.6694 7.6983 7.7214 341 346 350 0.0169 0.0207 0.0252 0.0291 0.0359 0.0455 0.0477 0.0495 0.0514 0 -138 301 98
Cepheus 109.6 16.9 0.746 0.7521 0.7583 0.1941 0.1966 0.1989 7.6487 7.6888 7.723 338 344 350 0.025 0.0303 0.0363 0.0473 0.0567 0.0675 0.0586 0.0609 0.0633 0 -110 310 100
Cepheus 113.5 15.9 0.6754 0.6811 0.6869 0.1378 0.1396 0.1414 7.6095 7.6326 7.6534 332 336 339 0.0143 0.0174 0.0208 0.0271 0.0318 0.0372 0.0505 0.0523 0.0543 0 -128 296 92
