name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
IC2944 294.1 -1.6 0.2754 0.2776 0.2798 0.715 0.7283 0.7415 11.8521 11.8678 11.9036 2346 2363 2402 0.1163 0.136 0.1555 0.0321 0.0355 0.038 0.151 0.1552 0.1603 1 964 -2156 -65
IC2944 294.9 -1.5 0.2853 0.2878 0.2903 0.9426 0.9512 0.9599 11.9284 11.948 11.9605 2430 2452 2466 0.1543 0.1777 0.1996 0.0423 0.0453 0.0483 0.1461 0.1514 0.1573 1 1032 -2223 -64
IC2944 294.6 -2.0 0.3513 0.354 0.3566 0.8583 0.8652 0.8717 11.8098 11.8483 11.8666 2301 2342 2362 0.054 0.065 0.0777 0.045 0.0481 0.0513 0.1448 0.1485 0.1526 1 974 -2128 -81
IC443 189.2 3.2 0.5161 0.5197 0.5234 0.5714 0.6072 0.6128 11.0352 11.06 11.095 1610 1629 1655 0.0365 0.043 0.0504 0.0421 0.0445 0.0472 0.0838 0.0863 0.089 1 -1605 -260 90
IC443 189.2 4.7 0.5366 0.5399 0.5431 0.6394 0.6434 0.6473 10.991 11.0123 11.0467 1578 1593 1619 0.0264 0.0321 0.0387 0.0694 0.0728 0.0764 0.0768 0.0792 0.0815 1 -1567 -253 130
IC443 189.6 4.0 0.5416 0.5453 0.5491 0.5013 0.5048 0.5084 10.9525 10.9635 10.972 1550 1558 1564 0.0296 0.0352 0.0414 0.0493 0.0521 0.0551 0.0711 0.0732 0.0755 1 -1532 -259 108
IC443 189.1 4.1 0.5579 0.5613 0.5648 0.6309 0.6348 0.6388 10.9639 11.0044 11.0725 1558 1588 1638 0.0339 0.0395 0.0462 0.0436 0.0462 0.049 0.0709 0.0732 0.0755 1 -1564 -250 113
IC5146 93.7 -4.6 0.434 0.4371 0.4403 0.413 0.4332 0.4368 9.4004 9.444 9.4806 758 774 787 0.0501 0.0576 0.0667 0.0345 0.0388 0.0436 0.0886 0.091 0.0935 1 -49 769 -62
IC5146 93.4 -4.2 0.4581 0.4622 0.4661 0.3508 0.4234 0.4302 9.4524 9.4948 9.531 777 792 805 0.0533 0.0622 0.0723 0.0243 0.0282 0.0322 0.0839 0.0868 0.0898 1 -46 788 -58
IC5146 94.0 -4.9 0.4757 0.4796 0.4834 0.3829 0.3862 0.3894 9.2415 9.3169 9.3752 705 730 749 0.0237 0.0288 0.0347 0.0338 0.0396 0.0461 0.0726 0.0747 0.0768 1 -50 725 -62
IC5146 94.4 -5.5 0.5533 0.5574 0.5616 0.5281 0.5324 0.5366 9.3574 9.3802 9.4087 743 751 761 0.0326 0.0396 0.0474 0.0293 0.0333 0.0377 0.0925 0.0951 0.0978 1 -57 745 -71
L1228 111.8 20.2 0.4839 0.4939 0.5036 0.1808 0.2429 0.3124 7.7886 7.822 7.8554 361 366 372 0.0302 0.0392 0.0517 0.0322 0.0399 0.0494 0.1014 0.1082 0.1156 1 -127 318 126
L1228D 112.3 13.8 0.6157 0.6203 0.625 0.1483 0.3163 0.3195 7.6011 8.4584 8.5423 331 491 511 0.0161 0.0196 0.0238 0.0292 0.0502 0.063 0.0567 0.0587 0.0606 1 -180 441 117
L1251 114.6 14.5 0.4421 0.4509 0.4626 0.3137 0.3778 0.3888 7.6921 7.7289 7.7924 345 351 361 0.0522 0.0662 0.0874 0.0319 0.0394 0.0487 0.09 0.0957 0.1008 1 -141 308 87
L1265 115.9 -2.0 0.4636 0.4666 0.4696 0.2876 0.401 0.5757 7.4802 7.689 7.8905 313 344 378 0.0246 0.0312 0.0388 0.0299 0.0396 0.0526 0.1102 0.1131 0.1158 1 -150 309 -12
L1293 121.7 0.1 0.4199 0.4227 0.4254 0.5925 0.5965 0.6005 10.1501 10.1738 10.1977 1071 1083 1095 0.0253 0.0309 0.0376 0.0622 0.067 0.0721 0.1 0.1024 0.1049 1 -569 921 1
L1302 122.0 -1.4 0.4561 0.4583 0.4606 0.7941 0.7981 0.8023 9.7699 9.7874 9.817 899 906 919 0.0217 0.027 0.0328 0.0329 0.0366 0.0407 0.1023 0.1049 0.1073 1 -479 768 -22
L1306 125.6 -0.6 0.4437 0.446 0.4482 0.7342 0.738 0.7419 9.7477 9.7789 9.8143 890 903 918 0.0173 0.0213 0.0263 0.0571 0.0627 0.069 0.0958 0.0982 0.1004 1 -525 734 -9
L1306 126.8 -0.8 0.4402 0.4429 0.4456 0.6554 0.6595 0.6636 9.8225 9.8699 9.9077 921 941 958 0.0295 0.0354 0.0422 0.0431 0.0467 0.0504 0.1044 0.1069 0.1095 1 -563 753 -13
L1307 124.3 3.3 0.5472 0.5489 0.5506 0.9088 0.9118 0.9147 9.595 9.6081 9.6234 829 834 840 0.0188 0.0231 0.0285 0.12 0.1285 0.1372 0.0703 0.072 0.0739 1 -469 687 48
L1307 124.6 2.6 0.4713 0.4732 0.4752 1.0201 1.0244 1.0287 9.7524 9.7768 9.8246 892 902 922 0.0398 0.0488 0.0584 0.1052 0.1127 0.1211 0.087 0.0897 0.0924 1 -511 741 40
L1333 128.9 13.7 0.4694 0.4755 0.4818 0.3167 0.3215 0.3261 7.2406 7.259 7.2879 280 283 286 0.03 0.0373 0.0459 0.0365 0.0414 0.0473 0.0466 0.0492 0.0519 1 -172 213 67
L1335 128.9 4.3 0.664 0.6671 0.6702 1.1623 1.168 1.1735 8.9944 9.0564 9.1403 629 647 673 0.0222 0.0293 0.0368 0.1817 0.1981 0.2169 0.0847 0.0878 0.0909 1 -405 502 48
L1340 130.0 11.5 0.4333 0.4368 0.4403 0.534 0.5385 0.5429 9.6381 9.6688 9.6937 846 858 868 0.0274 0.0335 0.0406 0.031 0.0341 0.0372 0.0831 0.0861 0.0892 1 -540 644 171
L1355 132.8 8.9 0.5608 0.5658 0.5705 0.8665 0.8745 0.8818 9.8477 9.8858 9.9619 932 948 982 0.037 0.0465 0.0578 0.0613 0.066 0.0708 0.0984 0.1024 0.1068 1 -636 687 146
L1355 133.6 9.3 0.5692 0.5729 0.5766 0.9169 0.923 0.9292 9.7975 9.8304 9.8599 910 924 937 0.0414 0.0518 0.0638 0.1076 0.1143 0.1217 0.0795 0.0829 0.0868 1 -628 660 149
L1616 203.5 -24.8 0.5938 0.6046 0.6156 0.15 0.187 0.1914 7.9281 7.9673 8.0137 385 392 400 0.0233 0.029 0.0364 0.0195 0.0232 0.0275 0.0463 0.0488 0.0516 1 -326 -141 -164
L1617 203.5 -12.0 0.5713 0.5748 0.5781 0.1267 0.1561 0.1863 8.0402 8.0857 8.1138 405 414 419 0.0283 0.0344 0.0404 0.0173 0.0205 0.0241 0.0532 0.0552 0.0571 1 -371 -161 -86
L1622 204.7 -11.8 0.4962 0.502 0.5077 0.1608 0.2405 0.3319 8.0177 8.1105 8.1963 401 418 435 0.0306 0.0397 0.0521 0.0283 0.0407 0.0528 0.112 0.1174 0.1227 1 -371 -170 -85
L1634 207.6 -23.2 0.6164 0.6251 0.6336 0.2503 0.2544 0.2579 7.8839 7.9523 8.0801 377 389 413 0.0178 0.0225 0.0285 0.0354 0.0416 0.0496 0.0536 0.0563 0.0591 1 -316 -165 -153
L1634 207.6 -22.8 0.5816 0.5928 0.6034 0.187 0.191 0.1946 7.7307 7.8113 7.9182 351 364 383 0.0252 0.0311 0.0385 0.0353 0.0425 0.0507 0.0506 0.0531 0.0558 1 -297 -155 -141
L291 10.7 -2.8 0.5477 0.5517 0.556 0.7966 0.817 0.8384 10.7618 10.7917 10.8168 1420 1439 1456 0.1842 0.2045 0.2237 0.036 0.0404 0.0461 0.1328 0.1369 0.1415 1 1412 266 -70
L291 11.3 -2.1 0.4156 0.4188 0.4223 0.7461 0.7616 0.7775 10.5936 10.6291 10.65 1314 1336 1348 0.2273 0.2471 0.2694 0.0266 0.0301 0.0338 0.1374 0.1428 0.1489 1 1309 261 -48
L291 11.4 -2.7 0.6172 0.6218 0.6268 0.9214 0.9685 1.075 10.6101 10.6493 10.6843 1324 1348 1370 0.1557 0.1786 0.2005 0.0361 0.045 0.054 0.1441 0.148 0.1522 1 1319 266 -63
L379 16.9 -2.2 0.4312 0.4367 0.4424 0.778 0.7883 0.7989 11.8592 11.907 11.9385 2354 2406 2441 0.0898 0.1046 0.1201 0.071 0.074 0.0771 0.1595 0.1645 0.1705 1 2300 698 -92
L379 17.1 -2.9 0.5962 0.6004 0.6048 0.8181 0.8239 0.83 11.3491 11.383 11.4938 1861 1890 1989 0.0781 0.0908 0.1044 0.0606 0.0647 0.0687 0.1157 0.1188 0.1224 1 1804 555 -95
L379 16.8 -2.7 0.6085 0.6124 0.6161 0.9208 0.9357 0.9509 11.5502 11.5705 11.5841 2041 2061 2074 0.1311 0.1468 0.1623 0.0349 0.0381 0.0443 0.1217 0.1252 0.129 1 1970 595 -97
L977 89.5 2.0 0.3477 0.3495 0.3513 0.6403 0.6853 0.7325 9.0595 9.098 9.1493 648 660 675 0.0247 0.0314 0.0398 0.0494 0.0549 0.0607 0.1379 0.141 0.144 1 5 659 23
L977 89.8 2.2 0.3449 0.3468 0.3487 0.5172 0.5632 0.6105 8.9851 9.0377 9.093 626 642 658 0.0214 0.0273 0.0342 0.0489 0.0544 0.0609 0.1415 0.1444 0.1473 1 2 641 24
L988 90.7 2.4 0.3421 0.3441 0.3461 0.5243 0.5665 0.6092 8.9661 8.987 9.0089 621 627 633 0.0458 0.0594 0.0745 0.0572 0.062 0.0675 0.1633 0.1668 0.1707 1 -7 626 26
L988 90.2 2.3 0.3518 0.3537 0.3556 0.3766 0.4039 0.4327 8.9144 8.9361 8.9614 606 612 619 0.0479 0.0592 0.0718 0.0302 0.0339 0.0382 0.1384 0.1418 0.1454 1 -2 611 24
LBN906 202.2 -31.4 0.7 0.727 0.7548 0.1071 0.1117 0.1162 7.2664 7.2932 7.3276 283 287 292 0.019 0.0242 0.031 0.0154 0.0177 0.0205 0.0256 0.0279 0.0302 1 -226 -92 -149
LBN917 203.7 -30.3 0.725 0.7423 0.7589 0.141 0.1455 0.1492 6.7745 6.8297 6.8992 226 232 239 0.0261 0.0332 0.0419 0.0223 0.0271 0.0329 0.0225 0.0253 0.0283 1 -183 -80 -117
LBN942 205.6 -22.0 0.7125 0.7202 0.7278 0.1968 0.2672 0.271 7.0012 7.0515 7.1052 251 257 263 0.0135 0.0168 0.0205 0.0288 0.0359 0.0454 0.0329 0.0346 0.0363 1 -214 -102 -96
LBN968 208.4 -28.4 0.5393 0.5536 0.5686 0.1247 0.1296 0.1334 7.4515 7.5208 7.6123 309 319 333 0.0198 0.0253 0.0316 0.0268 0.0337 0.0426 0.0479 0.0505 0.0533 1 -246 -133 -151
LBN969 208.4 -22.2 0.841 0.8626 0.886 0.1309 0.1357 0.1397 7.1496 7.1946 7.2474 269 274 281 0.0202 0.0255 0.0325 0.0181 0.0219 0.0268 0.0225 0.0245 0.0267 1 -223 -120 -103
LBN991 213.6 -28.9 0.5942 0.6062 0.6182 0.1573 0.1625 0.166 7.9668 8.0578 8.1604 392 408 428 0.015 0.0187 0.0232 0.0213 0.0261 0.0319 0.029 0.0309 0.0328 1 -297 -197 -197
Lacerta 96.1 -10.2 0.7448 0.7479 0.7512 0.153 0.1539 0.1548 8.4915 8.5146 8.5428 499 504 511 0.0118 0.0139 0.0163 0.0352 0.0398 0.0462 0.0419 0.0428 0.0438 0 -52 493 -89
Lacerta 95.8 -11.5 0.6807 0.6846 0.6883 0.1299 0.131 0.132 8.3603 8.3762 8.401 469 473 478 0.0123 0.0146 0.0172 0.0328 0.0374 0.0433 0.0433 0.0445 0.0456 0 -46 461 -94
Lagoon 6.9 -2.2 0.4349 0.4382 0.4415 0.8476 0.8632 0.8787 10.6008 10.6118 10.6256 1318 1325 1333 0.0765 0.0933 0.1136 0.0363 0.0386 0.0413 0.1624 0.1674 0.1731 1 1314 159 -50
Lagoon 7.3 -2.4 0.5377 0.5416 0.5456 0.7533 0.7834 0.8122 10.4157 10.4323 10.4523 1211 1220 1231 0.1246 0.1578 0.1874 0.0355 0.0439 0.0511 0.2037 0.2069 0.2108 1 1209 154 -51
Lupus 347.3 6.6 0.4725 0.4859 0.4974 0.4127 0.4307 0.442 6.378 6.8938 7.2939 188 239 287 0.028 0.0368 0.0484 0.0408 0.0528 0.0683 0.0512 0.0572 0.0639 1 231 -52 27
Lupus 338.7 17.4 0.5765 0.5849 0.5931 0.1313 0.2681 0.2745 5.9508 6.0227 6.0913 154 160 165 0.0257 0.032 0.0395 0.0298 0.0418 0.0542 0.0536 0.0561 0.0587 1 142 -55 47
Lupus 339.0 16.3 0.4705 0.4801 0.4898 0.0587 0.1666 0.3162 5.7444 5.9051 6.0861 140 151 164 0.037 0.0479 0.0614 0.0295 0.039 0.0504 0.0584 0.0628 0.0679 1 135 -51 42
Lupus 341.1 9.8 0.5582 0.5635 0.5688 0.2844 0.4486 0.4588 6.4179 6.4784 6.5283 192 197 202 0.0396 0.0485 0.0587 0.0437 0.0508 0.0599 0.0508 0.0537 0.0567 1 183 -62 33
Lupus 341.1 6.4 0.4707 0.4802 0.4899 0.4221 0.5771 0.5916 4.3838 5.1814 6.0316 75 108 160 0.0219 0.0291 0.0388 0.0369 0.0498 0.0659 0.1479 0.1537 0.1597 1 101 -34 12
Lupus 339.0 14.9 0.5924 0.5991 0.6057 0.1251 0.2552 0.2617 5.881 5.9674 6.0244 150 156 160 0.0217 0.0278 0.035 0.0271 0.034 0.043 0.0531 0.0554 0.0578 1 140 -54 40
M16 17.5 1.2 0.4494 0.4528 0.4562 1.3153 1.3255 1.3357 11.1784 11.2017 11.2301 1720 1739 1762 0.2966 0.3201 0.3406 0.0502 0.0534 0.0569 0.1221 0.1281 0.1352 1 1658 522 36
M16 17.9 1.0 0.4801 0.4838 0.4875 1.2942 1.3045 1.3146 11.0363 11.0744 11.1044 1611 1640 1662 0.2931 0.3163 0.337 0.0574 0.0616 0.066 0.1387 0.1437 0.1493 1 1560 503 28
M17 15.3 -1.1 0.2768 0.2785 0.2803 0.9276 0.9344 0.9407 10.9389 10.9863 11.0089 1540 1574 1591 0.0953 0.1127 0.1315 0.0424 0.0463 0.0504 0.1337 0.1371 0.1411 1 1517 415 -30
M17 15.2 -0.3 0.0921 0.0932 0.0944 0.7387 0.7484 0.7588 10.859 10.894 10.925 1485 1509 1531 0.2677 0.294 0.3194 0.0678 0.0724 0.0776 0.1291 0.1347 0.1412 1 1456 395 -7
M17 15.5 -0.8 0.1709 0.1721 0.1734 0.8338 0.8404 0.8469 10.8427 10.8642 10.899 1474 1488 1512 0.1008 0.12 0.1391 0.0379 0.0417 0.0453 0.153 0.1566 0.161 1 1433 397 -20
M20 7.4 -0.5 0.0973 0.0978 0.0983 0.8428 0.8481 0.853 10.4714 10.4913 10.507 1242 1253 1263 0.0649 0.0778 0.0912 0.0401 0.044 0.0484 0.1201 0.1232 0.1264 1 1242 161 -10
M20 6.7 -0.5 0.0746 0.0755 0.0764 0.657 0.6661 0.6752 10.4172 10.4571 10.4912 1211 1234 1253 0.2316 0.259 0.2871 0.0344 0.0386 0.0426 0.192 0.1951 0.1991 1 1225 143 -10
M20 7.0 0.1 0.0683 0.0687 0.0692 0.6972 0.7021 0.7073 10.3612 10.3712 10.3893 1180 1186 1196 0.0357 0.0429 0.0512 0.0455 0.0516 0.0586 0.1152 0.1177 0.1202 1 1177 144 2
M20 6.6 -0.1 0.0589 0.0593 0.0596 0.5737 0.5781 0.5823 10.3531 10.3677 10.3895 1176 1184 1196 0.0537 0.0625 0.0718 0.0423 0.0473 0.053 0.1067 0.1092 0.1117 1 1176 136 -2
Maddalena 216.5 -2.5 0.4965 0.4986 0.5006 0.2585 0.2603 0.262 11.6167 11.622 11.6325 2105 2110 2120 0.0805 0.0893 0.0985 0.0946 0.097 0.0996 0.0694 0.0713 0.0732 0 -1694 -1253 -92
Maddalena 217.1 0.4 0.3278 0.3304 0.3329 0.1383 0.1411 0.1438 11.3657 11.3801 11.4058 1875 1888 1910 0.0428 0.0488 0.0547 0.0347 0.0366 0.0385 0.136 0.1389 0.1416 0 -1505 -1138 13
Maddalena 216.8 -2.2 0.5072 0.5092 0.5113 0.3186 0.3207 0.3229 11.6161 11.6252 11.6424 2104 2113 2130 0.1424 0.1554 0.1678 0.0786 0.0809 0.0833 0.0739 0.0764 0.0789 0 -1690 -1264 -81
Maddalena 216.4 0.1 0.5013 0.5036 0.5055 0.1642 0.1654 0.1665 11.6004 11.6102 11.6268 2089 2099 2115 0.0201 0.0234 0.0265 0.0314 0.0334 0.0352 0.0657 0.0668 0.068 0 -1689 -1245 3
Mon_OB1_NGC2264 200.4 0.8 0.438 0.4406 0.4429 0.2388 0.2417 0.2442 9.2706 9.2837 9.3176 714 719 730 0.0464 0.0542 0.0623 0.0209 0.0232 0.0257 0.0986 0.101 0.1038 0 -673 -250 10
Mon_OB1_NGC2264 201.2 1.0 0.47 0.4721 0.4743 0.185 0.2035 0.2218 9.2506 9.2745 9.4096 708 715 761 0.0422 0.0481 0.0557 0.018 0.0201 0.0223 0.0908 0.0932 0.0958 0 -666 -258 12
Mon_OB1_NGC2264 201.4 1.1 0.4829 0.4849 0.4869 0.1888 0.2081 0.2287 9.3399 9.3703 9.3987 737 748 758 0.0308 0.0368 0.0418 0.0198 0.022 0.0245 0.0915 0.0937 0.0956 0 -696 -272 14
Mon_OB1_NGC2264 203.1 1.8 0.413 0.4158 0.4185 0.2055 0.2261 0.2501 9.4287 9.4616 9.5046 768 780 796 0.0393 0.0466 0.0547 0.0267 0.0292 0.0322 0.1074 0.11 0.1126 1 -717 -305 24
Mon_OB1_NGC2264 202.8 2.3 0.4718 0.4748 0.4779 0.1763 0.1966 0.2197 9.3267 9.4025 9.4299 733 759 769 0.0649 0.0755 0.0864 0.0199 0.0224 0.0256 0.0968 0.0995 0.1025 1 -699 -293 30
Mon_OB1_NGC2264 202.1 2.7 0.4261 0.4286 0.4312 0.1423 0.1591 0.1781 9.4189 9.4378 9.475 765 771 785 0.0561 0.0649 0.0742 0.0155 0.0175 0.0198 0.0899 0.0924 0.095 1 -713 -289 36
Mon_R2 220.9 -8.3 0.5449 0.5473 0.55 0.1794 0.1807 0.1821 9.7996 9.8075 9.8208 911 915 920 0.0207 0.0243 0.0288 0.0499 0.0538 0.0578 0.0587 0.06 0.0617 0 -684 -592 -132
Mon_R2 213.0 -12.5 0.4077 0.4118 0.4161 0.4383 0.4428 0.4475 9.5067 9.515 9.5274 796 799 804 0.0319 0.0385 0.0463 0.0352 0.0385 0.042 0.0971 0.1 0.1031 1 -654 -424 -172
Mon_R2 215.3 -12.9 0.5871 0.5905 0.5939 0.2183 0.2202 0.2221 9.3764 9.4255 9.4618 750 767 780 0.0257 0.0308 0.0369 0.057 0.0621 0.0678 0.0622 0.0644 0.0665 0 -610 -432 -171
Mon_R2 219.2 -7.7 0.5527 0.555 0.5573 0.1974 0.1987 0.2 9.8616 9.8732 9.9542 938 943 979 0.034 0.0389 0.0443 0.0519 0.0557 0.0595 0.0566 0.0582 0.0598 0 -724 -590 -126
Mon_R2 219.3 -9.5 0.4598 0.4635 0.467 0.2786 0.2826 0.2864 9.7946 9.8278 9.851 909 923 933 0.082 0.0951 0.1109 0.0508 0.0546 0.0593 0.0839 0.088 0.0926 0 -704 -576 -152
Mon_R2 213.9 -11.9 0.4797 0.4842 0.4886 0.1662 0.1689 0.1715 9.4414 9.4846 9.5167 773 788 800 0.1092 0.1237 0.1376 0.0497 0.0546 0.0597 0.0671 0.071 0.0749 0 -639 -430 -162
NGC2362 239.5 -4.9 0.3534 0.3566 0.3598 0.1638 0.1769 0.1908 10.5881 10.5987 10.6107 1311 1317 1324 0.0471 0.0545 0.063 0.0165 0.0181 0.0195 0.0847 0.0872 0.0899 1 -665 -1130 -112
NGC2362 237.2 -4.9 0.4185 0.4214 0.4243 0.2082 0.2253 0.2433 10.3114 10.3481 10.3792 1154 1173 1190 0.0148 0.0179 0.0216 0.0208 0.0227 0.0248 0.0645 0.0663 0.068 1 -633 -982 -100
NGC2362 238.7 -4.2 0.4004 0.4032 0.406 0.2365 0.2547 0.2732 10.6528 10.6653 10.6807 1350 1358 1368 0.017 0.0206 0.025 0.0237 0.0256 0.0279 0.0721 0.074 0.076 1 -703 -1157 -99
NGC6604 17.8 2.2 0.3084 0.3115 0.3147 0.9213 0.9309 0.9407 10.6222 10.6553 10.6676 1331 1352 1359 0.1897 0.2099 0.2312 0.1198 0.1237 0.1282 0.1374 0.1419 0.1473 1 1286 412 51
NGC6604 18.1 1.9 0.3531 0.3625 0.3725 0.9963 1.0237 1.0527 10.8655 10.9159 10.9418 1489 1524 1543 0.1522 0.1803 0.2102 0.0862 0.0913 0.0965 0.2288 0.2361 0.2455 1 1447 473 50
NGC6604 18.2 2.5 0.5485 0.5542 0.5594 1.3371 1.3512 1.3641 10.6148 10.6261 10.6399 1327 1334 1342 0.2066 0.2464 0.2815 0.1196 0.1234 0.1281 0.2009 0.205 0.2106 1 1266 416 58
Norma 338.8 1.8 0.749 0.81 0.9219 0.7571 0.7748 0.7925 9.1467 9.2926 9.4547 675 721 777 0.0408 0.0512 0.0645 0.0318 0.0342 0.0367 0.0732 0.1166 0.1469 1 671 -260 22
North_America 85.3 -0.8 0.425 0.4275 0.43 0.3471 0.4388 0.8645 9.3855 9.4733 9.7773 753 784 902 0.0474 0.0592 0.0718 0.0388 0.0518 0.1461 0.1039 0.1069 0.11 1 64 781 -10
North_America 84.8 -1.2 0.3944 0.3978 0.4011 0.3903 0.4169 0.4446 9.662 9.7179 9.7883 855 878 907 0.1505 0.1714 0.194 0.0327 0.0389 0.0462 0.1013 0.106 0.1117 1 79 874 -18
North_America 85.8 -2.2 0.5632 0.5654 0.5676 0.9251 0.9289 0.9325 9.5411 9.6075 9.654 809 834 852 0.0221 0.0284 0.0349 0.1819 0.1991 0.2137 0.0878 0.0898 0.0922 1 61 831 -32
North_America 86.6 -2.1 0.578 0.5808 0.5834 0.733 0.7368 0.7403 9.2587 9.3211 9.4362 710 731 771 0.0274 0.0334 0.0399 0.0799 0.0923 0.1084 0.0756 0.0776 0.0797 1 43 729 -26
North_America 84.6 0.1 0.2716 0.273 0.2744 0.3081 0.328 0.3488 9.4722 9.495 9.5172 784 792 800 0.2068 0.2269 0.2445 0.0288 0.0319 0.0357 0.0938 0.0975 0.102 1 74 788 1
North_America 83.7 -2.1 0.5213 0.5243 0.5274 0.558 0.5952 0.6342 9.4288 9.464 9.4945 768 781 792 0.0499 0.0631 0.0768 0.0561 0.0616 0.0672 0.1249 0.1289 0.1333 1 85 775 -28
North_America 82.8 -2.1 0.5061 0.51 0.5136 0.4761 0.4994 0.5218 9.5068 9.5402 9.5721 796 809 821 0.0953 0.1138 0.1337 0.0373 0.0409 0.0443 0.1422 0.1471 0.1529 1 101 802 -29
North_America 81.7 -1.7 0.5282 0.5313 0.5342 0.3493 0.3732 0.3967 9.6082 9.6538 9.6958 834 852 869 0.1376 0.1534 0.1723 0.0306 0.0363 0.0407 0.1188 0.1225 0.1271 1 122 842 -25
North_America 84.2 -1.3 0.4741 0.4758 0.4776 0.4089 0.4338 0.4603 9.5093 9.546 9.5647 797 811 818 0.0888 0.1011 0.1141 0.0388 0.0418 0.0452 0.0991 0.1018 0.1049 1 81 806 -18
North_America 84.8 -1.7 0.5211 0.5237 0.5262 0.6942 0.8717 0.8786 9.544 9.5729 9.6061 810 821 834 0.0262 0.032 0.0387 0.0639 0.0764 0.0879 0.1046 0.107 0.1096 1 74 817 -24
Northern_Coalsack 91.3 4.2 0.3292 0.3327 0.3364 0.8512 0.861 0.8709 8.7832 8.8079 8.8385 570 577 585 0.2504 0.2781 0.3064 0.0588 0.0645 0.0726 0.1876 0.1904 0.194 1 -13 575 42
Northern_Coalsack 92.6 3.5 0.2895 0.2923 0.2952 0.6971 0.9447 0.9566 8.6948 8.7462 8.7974 548 561 574 0.1068 0.1454 0.173 0.0719 0.0843 0.093 0.1475 0.1534 0.1607 1 -25 559 34
Northern_Coalsack 92.2 4.3 0.4052 0.4082 0.4112 0.4998 0.5332 0.5675 8.6607 8.6929 8.7152 539 547 553 0.0702 0.0986 0.1302 0.0422 0.0481 0.0545 0.2062 0.2096 0.2136 1 -20 545 41
Ophiuchus 352.7 15.4 0.615 0.6212 0.6272 0.1716 0.1754 0.1781 5.6877 5.7299 5.7703 137 139 142 0.0343 0.0427 0.0523 0.0299 0.0372 0.0466 0.0336 0.036 0.0388 0 132 -17 36
Ophiuchus 355.2 16.0 0.6619 0.6677 0.6734 0.1932 0.1972 0.1998 5.505 5.5405 5.5959 126 128 131 0.0248 0.031 0.0391 0.0231 0.0285 0.0363 0.0447 0.0474 0.0502 0 122 -10 35
Ophiuchus 357.1 15.7 0.6925 0.6987 0.7047 0.1486 0.1537 0.1558 5.2968 5.3637 5.4616 114 118 123 0.0226 0.0283 0.0349 0.0281 0.0345 0.0438 0.0307 0.033 0.0351 0 113 -5 31
Ophiuchus_Arc 349.9 16.6 0.7496 0.7546 0.7595 0.4955 0.4998 0.5032 6.0575 6.1161 6.1838 162 167 172 0.0228 0.0292 0.0364 0.0986 0.1239 0.1459 0.0332 0.0353 0.0373 1 157 -28 47
Ophiuchus_Arc 349.3 14.9 0.6799 0.6847 0.6896 0.1397 0.1763 0.2193 5.9186 5.9533 5.9918 152 155 157 0.0246 0.03 0.0366 0.0196 0.0243 0.0302 0.037 0.0386 0.0404 1 147 -27 39
Ophiuchus_Arc 352.4 18.3 0.6926 0.6983 0.7041 0.1659 0.248 0.3617 5.5249 5.5723 5.6183 127 130 132 0.0613 0.075 0.0921 0.0327 0.0412 0.0553 0.0492 0.0524 0.0559 1 122 -16 40
Ophiuchus_B44 359.2 12.0 0.6279 0.634 0.64 0.2373 0.2805 0.2839 5.8121 5.8683 5.9441 145 149 154 0.0254 0.0313 0.0382 0.0268 0.0332 0.0416 0.0394 0.0411 0.0429 1 145 -2 30
Ophiuchus_B44 357.1 13.1 0.6326 0.6373 0.6421 0.1934 0.3301 0.3898 5.7356 5.8101 5.887 140 145 150 0.0411 0.0492 0.0588 0.0323 0.0404 0.0512 0.0379 0.0397 0.0416 1 141 -7 32
Ophiuchus_B44 354.5 15.0 0.5813 0.5853 0.5898 0.3617 0.4786 0.7416 5.8857 5.9449 6.0031 150 154 158 0.0675 0.0838 0.1022 0.0469 0.0578 0.0703 0.0525 0.0562 0.0601 1 148 -14 39
Ophiuchus_B45 358.6 15.3 0.6729 0.6779 0.6828 0.2591 0.3669 0.3703 5.5843 5.7204 5.7827 130 139 143 0.0298 0.037 0.0452 0.033 0.0422 0.0546 0.0399 0.0419 0.0439 1 134 -3 36
Ophiuchus_B45 357.1 15.6 0.706 0.7104 0.7151 0.3452 0.3502 0.3529 5.6892 5.7711 5.8558 137 142 148 0.0251 0.0312 0.0385 0.0485 0.0584 0.071 0.028 0.0296 0.0314 1 136 -6 38
Ophiuchus_B45 355.6 16.1 0.6676 0.6725 0.6775 0.1335 0.1922 0.261 5.5698 5.6129 5.6652 130 132 135 0.03 0.0371 0.0457 0.0246 0.032 0.0411 0.0425 0.0446 0.0467 1 126 -9 36
Ophiuchus_L1688 353.2 16.6 0.5898 0.5955 0.6009 0.1758 0.2386 0.3002 5.656 5.7157 5.7756 135 139 142 0.0435 0.0559 0.0715 0.025 0.0317 0.0399 0.1022 0.1079 0.1141 1 132 -15 39
Ophiuchus_North 8.4 22.0 0.7402 0.7483 0.7561 0.3154 0.3436 0.3477 5.095 5.1997 5.3549 104 109 117 0.0291 0.0364 0.0449 0.0363 0.0482 0.0623 0.0446 0.0472 0.0498 1 99 14 40
